NiTi crystalline-amorphous nanocomposite,,,NiTi crystalline-amorphous nanocomposite,,,110 nm-grain-size polycrystalline NiTi,,,110 nm-grain-size polycrystalline NiTi,
Superelastic,Fig. 2a,,Plastic,Fig. 2b,,Superelastic,Fig. 2a,,Plastic,Fig. 2b
Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa),,Compressive strain,Compressive stress (MPa)
0.021,1047.25814,,0.01921,941.99776,,0.02169,668.56129,,0.02478,564.00955
0.02103,1049.37258,,0.01926,943.35702,,0.02177,668.49405,,0.02485,564.52612
0.02106,1051.5384,,0.01927,944.80709,,0.02174,668.46254,,0.02498,564.87492
0.0211,1053.71098,,0.01932,946.24891,,0.02168,668.9877,,0.02524,564.56163
0.02114,1055.86108,,0.01949,947.37162,,0.02178,669.62643,,0.02533,563.90509
0.02117,1058.04682,,0.01956,947.8473,,0.02186,669.99709,,0.02555,562.80013
0.0212,1060.1965,,0.01946,948.70857,,0.02185,670.4228,,0.02557,561.52076
0.02123,1062.49528,,0.0194,950.29364,,0.02181,671.2598,,0.0256,560.48022
0.02129,1064.80577,,0.01937,952.15621,,0.02193,672.09233,,0.02566,559.45248
0.02131,1067.02359,,0.01944,954.03242,,0.02209,672.41109,,0.02562,558.68563
0.02135,1069.27379,,0.01955,955.57815,,0.02213,672.43069,,0.02564,558.18172
0.02139,1071.49352,,0.01961,956.85478,,0.02206,672.84205,,0.02563,557.84343
0.02142,1073.77901,,0.01968,958.04207,,0.02206,673.68111,,0.02564,557.74862
0.02148,1075.93593,,0.01976,958.92501,,0.02213,674.54984,,0.02565,557.78991
0.02149,1078.22833,,0.01964,960.01347,,0.02228,674.99854,,0.02569,557.9631
0.02154,1080.45872,,0.01952,962.11481,,0.02228,675.34806,,0.02572,558.20574
0.02158,1082.66961,,0.01959,964.38059,,0.02234,675.81274,,0.02571,558.52214
0.02161,1084.99102,,0.01971,966.22106,,0.02241,676.16322,,0.02578,558.95479
0.02165,1087.24932,,0.01968,967.9407,,0.02249,676.40659,,0.0258,559.37115
0.02167,1089.59619,,0.01976,969.79851,,0.02248,676.64191,,0.02583,559.93914
0.02174,1091.87276,,0.01988,971.18097,,0.02251,677.10537,,0.02588,560.45222
0.02174,1094.20794,,0.01992,972.32838,,0.02265,677.424,,0.02589,561.08533
0.02181,1096.52083,,0.01991,973.56447,,0.02271,677.42909,,0.02599,561.6553
0.02184,1098.70759,,0.01984,975.24534,,0.02275,677.42438,,0.02613,561.94724
0.0219,1100.96454,,0.01985,977.17438,,0.02278,677.55123,,0.02622,562.00731
0.02193,1103.0233,,0.01993,979.09384,,0.02292,677.42272,,0.02641,561.65956
0.02197,1105.06424,,0.02,980.65281,,0.02289,677.28752,,0.02652,560.96484
0.02199,1107.23053,,0.02015,981.91329,,0.02291,677.51374,,0.02655,560.30302
0.02204,1109.35278,,0.02029,982.49802,,0.02295,677.77677,,0.02658,559.71382
0.02207,1111.65353,,0.02027,983.00699,,0.023,677.99655,,0.02662,559.2828
0.02212,1113.69955,,0.02023,983.88459,,0.02299,678.45148,,0.02665,558.84998
0.02214,1115.81522,,0.02014,985.35613,,0.02305,678.91223,,0.02662,558.61135
0.02219,1117.93773,,0.02017,987.09674,,0.02308,679.40428,,0.02667,558.72697
0.02223,1120.13805,,0.02022,988.7512,,0.02321,679.74914,,0.0267,558.72632
0.02226,1122.32558,,0.0202,990.48982,,0.02326,679.87964,,0.02669,558.95388
0.02228,1124.59761,,0.02026,992.26588,,0.0233,680.03213,,0.02676,559.23881
0.02233,1126.87413,,0.02029,994.03792,,0.02332,680.2664,,0.0268,559.43908
0.02237,1129.12309,,0.02041,995.4711,,0.02333,680.63605,,0.0268,559.7979
0.0224,1131.34028,,0.02045,996.56512,,0.02347,680.99247,,0.02687,560.27861
0.02244,1133.471,,0.02045,997.86172,,0.02359,680.81208,,0.0269,560.60128
0.0225,1135.70803,,0.0204,999.42694,,0.02358,680.67846,,0.02692,561.10168
0.02251,1137.95271,,0.02037,1001.39712,,0.02359,680.73527,,0.02694,561.6875
0.02258,1139.96391,,0.02044,1003.31851,,0.02367,680.95384,,0.02702,562.2926
0.02261,1142.01414,,0.02047,1005.18404,,0.02375,680.92503,,0.02708,562.73816
0.02264,1144.17289,,0.02061,1006.72955,,0.02388,680.62225,,0.02717,563.11588
0.0227,1146.13831,,0.02069,1007.84173,,0.02386,680.21224,,0.02721,563.38132
0.02272,1148.20081,,0.02068,1008.85778,,0.02381,680.47156,,0.02735,563.60941
0.02277,1150.19986,,0.02057,1010.4175,,0.0239,680.71164,,0.02745,563.46214
0.02279,1152.17173,,0.02051,1012.676,,0.02392,680.95719,,0.02759,563.13358
0.02283,1154.36108,,0.02056,1014.98721,,0.02406,681.15137,,0.02767,562.53595
0.02288,1156.39133,,0.02068,1017.0157,,0.02427,680.53852,,0.02781,561.78338
0.0229,1158.43341,,0.02084,1018.40714,,0.02433,679.60846,,0.02791,560.77366
0.02296,1160.54126,,0.021,1019.10043,,0.02441,678.66645,,0.02797,559.73384
0.02299,1162.48686,,0.02096,1019.66334,,0.02452,677.52108,,0.02802,558.74531
0.023,1164.59342,,0.02088,1020.8663,,0.02457,676.28597,,0.02803,557.89884
0.02305,1166.86023,,0.02083,1022.55626,,0.02463,675.15248,,0.02802,557.2664
0.02307,1169.07453,,0.02085,1024.45504,,0.02474,673.88466,,0.02808,556.77976
0.02313,1171.25899,,0.02089,1026.31512,,0.02476,672.47075,,0.02808,556.39805
0.02316,1173.41448,,0.02087,1028.22579,,0.02462,671.77114,,0.02809,556.2042
0.02316,1175.79241,,0.02099,1030.15664,,0.02465,671.71516,,0.02815,556.06024
0.02321,1178.31742,,0.02118,1031.35478,,0.02469,671.59844,,0.02817,556.04095
0.02326,1180.60318,,0.02131,1031.8205,,0.02474,671.55959,,0.02816,556.11508
0.02329,1182.92925,,0.02118,1032.42337,,0.0247,671.65829,,0.02815,556.47323
0.02336,1185.13597,,0.02109,1034.00667,,0.02465,672.29133,,0.02815,557.01456
0.02337,1187.40906,,0.02117,1035.69922,,0.02475,672.98646,,0.02819,557.69601
0.02341,1189.59523,,0.02108,1037.52613,,0.02485,673.40901,,0.02825,558.3118
0.02346,1191.91662,,0.02106,1039.81222,,0.02487,673.75234,,0.02825,559.0273
0.02349,1194.12754,,0.02112,1042.19732,,0.02485,674.35267,,0.02829,559.8136
0.02353,1196.33762,,0.02136,1043.83824,,0.02488,675.19389,,0.02834,560.55946
0.02356,1198.65885,,0.02153,1044.45727,,0.02498,675.887,,0.02844,561.17188
0.02363,1200.82475,,0.02142,1045.10528,,0.02503,676.27743,,0.02848,561.7489
0.02367,1202.82737,,0.02124,1046.84233,,0.02498,677.03619,,0.02854,562.2613
0.02368,1204.96258,,0.02136,1048.95351,,0.02499,678.12667,,0.02858,562.82128
0.02374,1207.03384,,0.02142,1050.61634,,0.02508,679.1257,,0.02868,563.25938
0.02375,1209.20554,,0.02149,1052.11862,,0.02511,679.93232,,0.02874,563.53609
0.02378,1211.51116,,0.02157,1053.32117,,0.02513,680.97155,,0.02878,563.83522
0.02382,1213.71635,,0.02157,1054.52847,,0.0252,681.92183,,0.02885,564.12125
0.02386,1216.04314,,0.02159,1055.88909,,0.02526,682.79526,,0.02892,564.33991
0.02391,1218.24368,,0.02163,1057.29087,,0.02538,683.44184,,0.02897,564.52891
0.02396,1220.39516,,0.0216,1058.73164,,0.02543,683.81642,,0.02906,564.60796
0.02396,1222.63811,,0.02153,1060.69644,,0.02548,684.24582,,0.02908,564.67539
0.02403,1224.84588,,0.02148,1063.02396,,0.02554,684.64019,,0.02914,564.75698
0.02405,1227.12303,,0.0215,1065.65527,,0.02562,684.82703,,0.02913,564.98206
0.02407,1229.49046,,0.02168,1067.84339,,0.02566,684.94927,,0.0292,565.30985
0.02412,1231.83759,,0.02184,1069.14587,,0.02566,685.33615,,0.02926,565.49948
0.02415,1234.26227,,0.02197,1069.89851,,0.02563,685.95512,,0.02926,565.8067
0.02421,1236.52652,,0.02204,1070.25713,,0.02573,686.70147,,0.0293,566.27157
0.02424,1238.84385,,0.02186,1071.14656,,0.02583,686.98143,,0.02937,566.64
0.02428,1241.0861,,0.02184,1072.92972,,0.02595,687.16456,,0.02942,566.97919
0.02434,1243.20139,,0.02186,1074.76557,,0.02605,686.91886,,0.02947,567.28451
0.02438,1245.27021,,0.02198,1076.41551,,0.02611,686.58338,,0.02955,567.57407
0.0244,1247.3528,,0.02201,1077.67961,,0.02615,686.20436,,0.02954,567.93687
0.02442,1249.55037,,0.02205,1079.08936,,0.02604,686.40612,,0.02958,568.41006
0.02445,1251.98931,,0.02214,1080.15435,,0.02616,686.72704,,0.02962,568.8764
0.0245,1254.2773,,0.02215,1081.26149,,0.02617,686.89494,,0.0297,569.34394
0.02453,1256.59184,,0.02207,1082.59311,,0.02616,687.37758,,0.0297,569.76208
0.02455,1259.05533,,0.02192,1084.9207,,0.02618,688.02131,,0.02981,570.18511
0.02462,1261.46608,,0.022,1087.49478,,0.02627,688.71556,,0.02984,570.5111
0.02465,1263.74856,,0.02206,1089.72265,,0.02642,688.95006,,0.02987,570.99587
0.02472,1265.71782,,0.02217,1091.6528,,0.0265,688.89819,,0.0299,571.45002
0.02474,1267.76416,,0.0223,1093.03473,,0.0265,688.78767,,0.02993,571.95556
0.02477,1269.98042,,0.02236,1094.03854,,0.02644,689.1933,,0.02999,572.52307
0.02479,1272.28958,,0.02231,1095.29301,,0.02645,689.90861,,0.03006,573.01659
0.02484,1274.62711,,0.0224,1096.64358,,0.02657,690.55372,,0.03013,573.39787
0.02487,1276.93689,,0.02231,1097.95965,,0.0267,690.69283,,0.03016,573.81227
0.02492,1279.22131,,0.02215,1100.33511,,0.02675,690.7235,,0.03022,574.17843
0.02493,1281.51461,,0.02223,1103.09402,,0.0267,690.98528,,0.03029,574.5282
0.02499,1283.81277,,0.02254,1104.85467,,0.02665,691.7076,,0.03037,574.72924
0.025,1286.22958,,0.02269,1105.36281,,0.02676,692.55166,,0.03041,574.90309
0.02508,1288.51875,,0.02252,1106.15059,,0.02684,693.07713,,0.03044,575.18117
0.02509,1290.79836,,0.02248,1107.92766,,0.02688,693.51311,,0.03049,575.47708
0.02511,1293.33198,,0.02268,1109.28307,,0.02694,693.95174,,0.03053,575.79257
0.02517,1295.82297,,0.02272,1110.08854,,0.02699,694.40444,,0.03059,576.07412
0.02521,1298.15985,,0.02257,1111.41519,,0.02703,694.82562,,0.03062,576.4052
0.02525,1300.44219,,0.02257,1113.50049,,0.02707,695.23076,,0.03069,576.67756
0.02531,1302.63084,,0.0227,1115.31394,,0.02713,695.68689,,0.03072,576.98083
0.02532,1304.82845,,0.02285,1116.45942,,0.02717,696.0801,,0.03075,577.3831
0.02535,1307.14207,,0.02286,1117.26789,,0.02724,696.41892,,0.03079,577.80108
0.02542,1309.41822,,0.02285,1118.49706,,0.02733,696.62788,,0.03082,578.3
0.02542,1311.63548,,0.02291,1119.579,,0.02739,696.6919,,0.03085,578.78596
0.02547,1314.00826,,0.02288,1120.76476,,0.02756,696.50569,,0.03092,579.33139
0.02552,1316.28802,,0.02281,1122.47859,,0.02764,695.80055,,0.03099,579.74325
0.02554,1318.57164,,0.02271,1124.8165,,0.02759,695.39853,,0.03108,580.02398
0.02558,1320.94598,,0.02281,1127.32938,,0.02759,695.38648,,0.03109,580.35395
0.02561,1323.31173,,0.02297,1129.18594,,0.02761,695.51755,,0.03115,580.69726
0.02565,1325.68862,,0.02312,1130.2562,,0.02768,695.7444,,0.03119,581.00031
0.02571,1328.03297,,0.02298,1131.41014,,0.02771,695.90081,,0.03118,581.5068
0.02572,1330.34617,,0.02288,1133.60233,,0.02766,696.37437,,0.03125,582.01822
0.02577,1332.80475,,0.02295,1136.05317,,0.0277,697.14064,,0.03125,582.62706
0.0258,1335.17623,,0.02305,1137.98052,,0.02786,697.61535,,0.03135,583.1706
0.02587,1337.46502,,0.02305,1139.80215,,0.02799,697.55381,,0.03135,583.72327
0.02588,1339.69135,,0.02311,1141.72267,,0.02799,697.40188,,0.03138,584.45034
0.02593,1342.01123,,0.02325,1143.10833,,0.02803,697.47344,,0.03141,585.19249
0.02595,1344.35004,,0.02329,1144.2485,,0.02806,697.57317,,0.03146,585.90781
0.026,1346.7621,,0.02329,1145.31737,,0.02813,697.79066,,0.0315,586.65188
0.02603,1349.04077,,0.02315,1147.08489,,0.02813,697.86802,,0.03158,587.34738
0.02606,1351.38552,,0.02329,1149.09463,,0.02802,698.59007,,0.03162,587.9473
0.02612,1353.65598,,0.02336,1150.44024,,0.02812,699.58261,,0.03167,588.50956
0.02616,1355.9365,,0.02331,1152.17524,,0.02828,700.12831,,0.03175,589.04553
0.02616,1358.34311,,0.02341,1153.77115,,0.02837,700.19694,,0.03179,589.5624
0.0262,1360.93881,,0.0235,1155.01549,,0.02835,700.2854,,0.03184,590.04355
0.02622,1363.55591,,0.02362,1155.84306,,0.02845,700.60075,,0.03191,590.47089
0.02627,1366.18079,,0.02368,1156.38635,,0.0286,700.371,,0.03197,590.84611
0.02632,1368.66863,,0.02369,1156.93466,,0.0286,700.02946,,0.03198,591.28741
0.02633,1371.32907,,0.02349,1158.29104,,0.02856,700.17057,,0.032,591.81351
0.02641,1373.75475,,0.02352,1160.38105,,0.02867,700.31615,,0.03206,592.42119
0.02644,1376.1001,,0.02356,1162.31667,,0.0287,700.32862,,0.03208,592.98442
0.02647,1378.49955,,0.02361,1164.25524,,0.02871,700.53608,,0.03213,593.63438
0.02651,1381.0262,,0.02369,1165.86367,,0.0288,700.74978,,0.03218,594.26077
0.02655,1383.41544,,0.02373,1167.33936,,0.02886,700.82324,,0.03226,594.7669
0.02658,1385.83945,,0.02371,1168.85337,,0.02894,700.70987,,0.03231,595.30053
0.02663,1388.22441,,0.02368,1170.69011,,0.02882,701.04049,,0.03234,595.72405
0.02668,1390.44976,,0.02364,1172.76294,,0.02883,701.97747,,0.03242,596.22792
0.02671,1392.76931,,0.02361,1175.47785,,0.02905,702.37412,,0.03249,596.56616
0.02674,1395.05695,,0.02381,1177.57909,,0.0291,702.36552,,0.03253,596.85548
0.0268,1397.33224,,0.02383,1179.14392,,0.02913,702.49008,,0.03262,597.14869
0.02683,1399.56511,,0.02389,1180.81286,,0.02927,702.31631,,0.03263,597.3993
0.02685,1401.93474,,0.02396,1182.15386,,0.02925,702.17904,,0.03269,597.7376
0.0269,1404.22394,,0.02402,1183.3894,,0.02937,702.11523,,0.03271,598.11104
0.02693,1406.53188,,0.02401,1184.54139,,0.02949,701.60948,,0.03275,598.53135
0.02697,1408.82179,,0.02399,1186.19036,,0.0295,701.13239,,0.03284,598.89109
0.02702,1411.14137,,0.02401,1187.83286,,0.02957,700.65333,,0.03284,599.26183
0.02703,1413.45953,,0.02395,1189.78334,,0.02955,700.35076,,0.03286,599.80893
0.02709,1415.78374,,0.024,1191.98218,,0.02962,700.2146,,0.03293,600.29718
0.02711,1418.14321,,0.02422,1193.58727,,0.02957,700.18987,,0.03299,600.72232
0.02717,1420.45797,,0.02441,1194.05804,,0.02962,700.55387,,0.03308,601.0658
0.0272,1422.76559,,0.02436,1194.27252,,0.02973,700.66056,,0.03305,601.45742
0.02723,1425.16489,,0.02413,1195.61805,,0.02969,700.829,,0.0331,602.02464
0.02727,1427.47683,,0.02415,1197.98426,,0.02964,701.48987,,0.03312,602.64892
0.02731,1429.75288,,0.02428,1199.83953,,0.02979,702.24556,,0.03319,603.20542
0.02733,1432.16259,,0.02432,1201.28387,,0.03013,701.82838,,0.03322,603.7903
0.02739,1434.52853,,0.02425,1203.03881,,0.03011,700.82456,,0.03329,604.37865
0.02741,1436.88217,,0.02425,1205.19051,,0.03009,700.37456,,0.03331,604.91455
0.02744,1439.29534,,0.02441,1207.0747,,0.03009,700.11891,,0.03339,605.46307
0.0275,1441.642,,0.02441,1208.51347,,0.03019,700.02099,,0.03339,606.06359
0.02755,1443.89341,,0.02442,1210.19507,,0.03021,699.78373,,0.03345,606.69441
0.02757,1446.13708,,0.02444,1211.88818,,0.03015,699.94469,,0.03346,607.37168
0.02761,1448.41991,,0.02436,1214.02543,,0.0302,700.44516,,0.0335,608.12294
0.02765,1450.84154,,0.02452,1216.01517,,0.03029,700.67899,,0.03358,608.81883
0.02769,1453.00105,,0.02455,1217.48901,,0.03037,700.86818,,0.03362,609.46649
0.0277,1455.43992,,0.02459,1219.03646,,0.03045,700.74173,,0.03368,610.05144
0.02777,1457.75421,,0.02467,1220.41312,,0.03042,700.81833,,0.03376,610.61171
0.02778,1460.088,,0.02471,1221.61558,,0.03046,701.14592,,0.03384,610.97862
0.02782,1462.52927,,0.02466,1222.90782,,0.03047,701.50122,,0.0339,611.2813
0.02787,1465.01168,,0.02455,1225.06589,,0.0305,702.11424,,0.03393,611.58855
0.02792,1467.2085,,0.02461,1227.39749,,0.03054,702.68072,,0.03395,612.03201
0.02796,1469.38591,,0.02466,1229.56432,,0.03055,703.43429,,0.03401,612.40433
0.02799,1471.56068,,0.0248,1231.31363,,0.0307,703.91713,,0.03406,612.83126
0.02804,1473.92473,,0.02492,1232.39841,,0.03077,703.99364,,0.03406,613.34316
0.02803,1476.25968,,0.02497,1233.29179,,0.03077,704.28367,,0.03412,613.89921
0.02813,1478.59877,,0.02497,1234.17022,,0.03077,704.78959,,0.03421,614.38611
0.02812,1480.92863,,0.02484,1235.63087,,0.03082,705.38277,,0.03424,614.69745
0.02818,1483.2715,,0.02478,1237.97064,,0.03093,705.83118,,0.03426,615.19055
0.02821,1485.53561,,0.02482,1240.31862,,0.031,706.0254,,0.03427,615.83672
0.02823,1487.90951,,0.02491,1242.49963,,0.03099,706.31581,,0.03435,616.44906
0.02829,1490.30422,,0.02496,1244.40982,,0.03107,706.70704,,0.03436,617.08502
0.02832,1492.52456,,0.02515,1245.74946,,0.03122,706.65727,,0.03439,617.76424
0.02834,1494.94709,,0.02522,1246.51195,,0.03123,706.48656,,0.03446,618.46047
0.02839,1497.37573,,0.0252,1247.27743,,0.03127,706.58333,,0.03445,619.21441
0.02842,1499.75898,,0.02507,1248.81884,,0.03134,706.5746,,0.03457,619.94187
0.02845,1502.26585,,0.02515,1250.70116,,0.03142,706.42624,,0.03459,620.51405
0.0285,1504.6372,,0.0251,1252.51539,,0.03148,706.19514,,0.03463,621.21175
0.02851,1507.24361,,0.02508,1254.77773,,0.03153,705.94022,,0.03472,621.72586
0.02857,1509.87332,,0.02512,1257.03921,,0.03153,705.77338,,0.03475,622.32416
0.02859,1512.45851,,0.02516,1259.30814,,0.03147,706.13167,,0.0348,622.86425
0.02862,1515.01859,,0.02542,1260.75359,,0.03155,706.62817,,0.03481,623.53867
0.02869,1517.67785,,0.02543,1261.51505,,0.03164,706.85894,,0.03487,624.17191
0.02871,1520.21923,,0.02531,1262.89521,,0.03165,707.09598,,0.03491,624.8157
0.02875,1522.78982,,0.02522,1265.08492,,0.03164,707.62785,,0.03498,625.38069
0.02881,1525.19573,,0.02528,1267.55,,0.03172,708.22682,,0.03505,625.88524
0.02883,1527.62213,,0.02543,1269.49488,,0.03184,708.45094,,0.0351,626.35661
0.02886,1530.17172,,0.02556,1270.67997,,0.0319,708.50262,,0.03513,626.84015
0.02889,1532.74428,,0.0255,1271.76719,,0.0318,708.87676,,0.03518,627.30351
0.02893,1535.33343,,0.02547,1273.55044,,0.03181,709.81605,,0.03526,627.70588
0.02902,1537.72089,,0.02561,1275.08756,,0.03201,710.43332,,0.03533,628.01657
0.029,1540.08322,,0.02571,1276.10764,,0.03216,710.27487,,0.03543,628.20974
0.02906,1542.53576,,0.02565,1277.10012,,0.03203,710.31551,,0.0355,628.24065
0.02909,1544.91099,,0.02545,1279.2384,,0.03201,711.16909,,0.03557,628.21671
0.02915,1547.39184,,0.02558,1281.71061,,0.0321,711.94328,,0.03556,628.23694
0.02919,1549.57856,,0.02567,1283.6109,,0.03221,712.40495,,0.03558,628.47947
0.02921,1551.95999,,0.02577,1285.01945,,0.0323,712.56752,,0.03563,628.76646
0.02924,1554.44384,,0.02571,1286.54699,,0.0323,712.78092,,0.03568,629.05934
0.02928,1556.9333,,0.02587,1287.97231,,0.0324,713.04864,,0.03569,629.41034
0.02935,1559.15755,,0.02582,1289.10183,,0.03249,713.03666,,0.03575,629.87746
0.02939,1561.38246,,0.02579,1290.97164,,0.03251,712.88419,,0.0358,630.2179
0.0294,1563.76149,,0.0258,1292.7358,,0.03242,713.31803,,0.03579,630.75703
0.02943,1566.01065,,0.02582,1294.84539,,0.03248,714.11643,,0.03582,631.45982
0.02948,1568.50641,,0.02604,1296.23054,,0.03257,714.61009,,0.03585,632.13245
0.0295,1570.89758,,0.026,1297.29108,,0.03256,715.18094,,0.0359,632.84832
0.02956,1573.25602,,0.02597,1298.70266,,0.03263,715.76421,,0.03594,633.58063
0.02959,1575.69031,,0.02587,1300.75738,,0.0326,716.52462,,0.03601,634.21993
0.02961,1577.99778,,0.02595,1303.06819,,0.03279,717.2293,,0.03601,634.90647
0.02967,1580.57309,,0.02598,1305.05552,,0.03296,717.00754,,0.03608,635.66611
0.0297,1583.00266,,0.02597,1307.20668,,0.03283,717.02692,,0.0361,636.43739
0.02972,1585.34769,,0.02607,1309.2395,,0.03283,717.69906,,0.03616,637.18209
0.02975,1588.01026,,0.02616,1310.87422,,0.03298,718.21302,,0.03619,637.87216
0.02983,1590.4016,,0.02622,1312.17283,,0.03316,718.05817,,0.0363,638.58573
0.02985,1592.759,,0.02622,1313.44844,,0.03308,717.90446,,0.03632,639.19293
0.02989,1595.07845,,0.0262,1314.99667,,0.03305,718.35521,,0.03638,639.74749
0.02993,1597.49073,,0.02619,1316.86082,,0.03318,718.77293,,0.03643,640.2826
0.02996,1599.7768,,0.02614,1319.02725,,0.03321,718.95742,,0.03648,640.80857
0.02998,1602.24178,,0.02618,1321.38762,,0.03317,719.4915,,0.03653,641.39473
0.03,1605.00542,,0.02627,1323.45316,,0.03327,720.09104,,0.0366,641.84344
0.03008,1607.53928,,0.02634,1325.21126,,0.03341,720.31974,,0.03666,642.20806
0.0301,1609.9578,,0.0265,1326.50959,,0.0334,720.24961,,0.03668,642.64915
0.03015,1612.39453,,0.02665,1326.86884,,0.03332,720.89665,,0.03668,643.21316
0.03019,1614.78325,,0.02653,1327.56087,,0.03337,721.82133,,0.03671,643.93191
0.03023,1617.1372,,0.02642,1329.01908,,0.03346,722.57212,,0.03678,644.58677
0.03026,1619.56461,,0.02627,1331.54298,,0.03358,723.02057,,0.03683,645.17526
0.0303,1621.99172,,0.02637,1334.4958,,0.03364,723.15288,,0.03686,645.80803
0.03034,1624.34554,,0.02652,1336.56806,,0.03363,723.53092,,0.0369,646.51705
0.03033,1626.88339,,0.02661,1338.01539,,0.03371,723.95392,,0.03694,647.17443
0.03039,1629.68607,,0.02659,1339.56488,,0.03374,724.23425,,0.03701,647.85818
0.03044,1632.22742,,0.02664,1341.17566,,0.03377,724.74111,,0.03706,648.47683
0.03049,1634.67345,,0.02666,1342.70769,,0.03389,724.99273,,0.03711,649.00137
0.03051,1637.07514,,0.02672,1344.2349,,0.03385,725.27166,,0.03712,649.68429
0.03055,1639.63076,,0.0267,1345.70487,,0.03386,725.96161,,0.03718,650.36554
0.03061,1642.01863,,0.02663,1347.69617,,0.03394,726.58032,,0.03727,650.8892
0.03063,1644.48354,,0.02661,1350.12771,,0.03402,727.0489,,0.03728,651.41137
0.0307,1646.76282,,0.02671,1352.50057,,0.0341,727.27834,,0.03733,651.98943
0.0307,1649.1161,,0.02678,1354.28756,,0.03401,727.79456,,0.03735,652.66883
0.03073,1651.77357,,0.02682,1356.1063,,0.03404,728.8502,,0.03736,653.43058
0.03078,1654.23921,,0.02688,1357.6237,,0.03414,729.56043,,0.03743,654.25558
0.03081,1656.77277,,0.02681,1359.4276,,0.03409,730.46155,,0.03747,654.97825
0.03086,1659.27232,,0.02684,1361.55421,,0.0342,731.45597,,0.03756,655.63128
0.0309,1661.67782,,0.02691,1363.5363,,0.0343,732.0738,,0.03758,656.23824
0.03094,1664.19267,,0.02691,1365.30979,,0.03447,732.23571,,0.03762,656.90754
0.03097,1666.68135,,0.02697,1367.26513,,0.03447,732.13481,,0.03763,657.64712
0.03101,1669.09425,,0.02715,1368.48285,,0.03445,732.46354,,0.03764,658.57817
0.03104,1671.57486,,0.02711,1369.4233,,0.03442,733.0976,,0.03767,659.52049
0.03109,1673.98827,,0.02708,1370.9779,,0.0345,733.88907,,0.03776,660.43894
0.03111,1676.45386,,0.02703,1372.81507,,0.03463,734.29918,,0.03778,661.2468
0.03119,1678.73119,,0.02702,1375.17246,,0.03466,734.5863,,0.03784,662.13843
0.03121,1680.91182,,0.02716,1377.12861,,0.03469,734.91135,,0.03791,662.88238
0.03123,1683.20164,,0.02724,1378.4991,,0.03479,735.24816,,0.03793,663.67754
0.03128,1685.61327,,0.02721,1379.94249,,0.03491,735.20334,,0.03794,664.52801
0.03129,1688.07718,,0.02723,1381.74552,,0.03498,734.923,,0.03799,665.41976
0.03136,1690.60847,,0.0273,1383.2584,,0.03492,734.80226,,0.03803,666.37815
0.03138,1692.92295,,0.0273,1384.7564,,0.03491,735.23092,,0.0381,667.23303
0.03142,1695.33531,,0.02725,1386.62933,,0.03495,735.80336,,0.03815,667.95952
0.03145,1697.904,,0.02711,1389.17751,,0.03494,736.52518,,0.03821,668.71088
0.03152,1700.26848,,0.02721,1392.23189,,0.03501,737.31938,,0.03822,669.53003
0.03155,1702.38928,,0.02753,1393.85904,,0.03512,737.88253,,0.03828,670.29583
0.03156,1704.79218,,0.02759,1394.39606,,0.03514,738.24703,,0.03829,671.14596
0.0316,1707.33405,,0.02761,1395.12294,,0.03517,738.85147,,0.03835,672.06877
0.03163,1709.88966,,0.02754,1396.13638,,0.03521,739.43622,,0.03837,672.86474
0.03166,1712.50008,,0.02754,1397.74728,,0.03526,740.02699,,0.03844,673.76206
0.0317,1715.12968,,0.02751,1399.39731,,0.03527,740.72204,,0.03844,674.68533
0.03175,1717.54645,,0.02739,1401.79816,,0.03534,741.35893,,0.03852,675.58754
0.03178,1720.28955,,0.02746,1404.61628,,0.03529,742.18744,,0.03856,676.44399
0.03181,1722.83857,,0.02774,1406.30373,,0.03533,743.35229,,0.03861,677.25524
0.03187,1725.47793,,0.02786,1406.91633,,0.0355,744.06789,,0.03866,678.03036
0.03192,1727.76117,,0.02788,1407.43491,,0.03554,744.51638,,0.03868,678.91786
0.03193,1730.25258,,0.02784,1408.15914,,0.03563,744.88878,,0.03871,679.77794
0.032,1732.66171,,0.02767,1409.82759,,0.03567,745.16346,,0.03874,680.72848
0.03202,1734.99834,,0.02765,1412.34716,,0.03567,745.51565,,0.0388,681.64261
0.03207,1737.36224,,0.02768,1414.76532,,0.03571,746.08965,,0.03884,682.5697
0.0321,1739.70447,,0.02765,1417.36294,,0.03579,746.54903,,0.03893,683.37582
0.03212,1742.13948,,0.02769,1420.05695,,0.03587,746.80592,,0.03897,684.03395
0.03216,1744.65409,,0.02789,1422.21944,,0.0359,747.07442,,0.03899,684.83879
0.0322,1747.11564,,0.02803,1423.31061,,0.03587,747.50868,,0.03901,685.72317
0.03224,1749.64169,,0.02795,1424.44028,,0.03596,748.19921,,0.03909,686.57625
0.03228,1752.06742,,0.02798,1425.99063,,0.03608,748.34696,,0.03912,687.35046
0.03231,1754.66688,,0.02795,1427.70511,,0.03608,748.55161,,0.03912,688.25512
0.03233,1757.25585,,0.02797,1429.65664,,0.03608,749.0101,,0.03918,689.22731
0.03239,1759.82435,,0.02789,1431.87337,,0.03611,749.60596,,0.03921,690.14807
0.03243,1762.38233,,0.02797,1434.32609,,0.03615,750.23658,,0.03927,691.07215
